tanuki/entities/atc_1234/$meta/name                                    | "ATC 1234"
tanuki/entities/atc_1234/$meta/type                                    | "Xiaomi Hygrometer"
tanuki/entities/atc_1234/$meta/tags                                    | ["room.living_room"]
tanuki/entities/atc_1234/$meta/status                                  | "online"
tanuki/entities/atc_1234/tanuki.sensor/$meta/version                   | 1
tanuki/entities/atc_1234/tanuki.sensor/temperature                     | { value: 22.5, unit: "C", timestamp: 1712345678 }
tanuki/entities/atc_1234/tanuki.sensor/humidity                        | { value: 50.0, unit: "%", timestamp: 1712345678 }
tanuki/entities/tradfri_shortcut_button_1/$meta/name                   | "Tradfri Shortcut Button 1"
tanuki/entities/tradfri_shortcut_button_1/$meta/type                   | "IKEA Tradfri Shortcut Button"
tanuki/entities/tradfri_shortcut_button_1/$meta/tags                   | ["room.living_room"]
tanuki/entities/tradfri_shortcut_button_1/$meta/status                 | "online"
tanuki/entities/tradfri_shortcut_button_1/tanuki.buttons/$meta/version | 1
tanuki/entities/tradfri_shortcut_button_1/tanuki.buttons/button        | ->| pressed, double_pressed, long_press, released, triple_pressed, ...
tanuki/entities/hue_remote_1/$meta/name                                | "Hue Remote 1"
tanuki/entities/hue_remote_1/$meta/type                                | "Philips Hue Remote"
tanuki/entities/hue_remote_1/$meta/tags                                | ["room.living_room"]
tanuki/entities/hue_remote_1/$meta/status                              | "online"
tanuki/entities/hue_remote_1/tanuki.buttons/$meta/version              | 1
tanuki/entities/hue_remote_1/tanuki.buttons/on                         | ->| pressed, ...
tanuki/entities/hue_remote_1/tanuki.buttons/up                         | ->| pressed, ...
tanuki/entities/hue_remote_1/tanuki.buttons/down                       | ->| pressed, ...
tanuki/entities/hue_remote_1/tanuki.buttons/off                        | ->| pressed, ...
tanuki/entities/north_lamp/$meta/name                                  | "North"
tanuki/entities/north_lamp/$meta/type                                  | "Philips Hue Lamp"
tanuki/entities/north_lamp/$meta/tags                                  | ["room.living_room", "misc.main_light"]
tanuki/entities/north_lamp/$meta/status                                | "online"
tanuki/entities/north_lamp/tanuki.on_off/$meta/version                 | 1
tanuki/entities/north_lamp/tanuki.on_off/state                         | "on"
tanuki/entities/north_lamp/tanuki.on_off/set                           | <-| on, off, toggle
tanuki/entities/north_lamp/tanuki.light/$meta/version                  | 1
tanuki/entities/north_lamp/tanuki.light/$meta/capabilities             | { brightness: true, color: true, fade: true }
tanuki/entities/north_lamp/tanuki.light/color                          | { r: 255, g: 200, b: 150 }
tanuki/entities/north_lamp/tanuki.light/brightness                     | 75
tanuki/entities/north_lamp/tanuki.light/effect                         | "none"
tanuki/entities/north_lamp/tanuki.light/transition                     | 3000
tanuki/entities/north_lamp/tanuki.light/color/set                      | <-| { r: 255, g: 220, b: 180 }
tanuki/entities/north_lamp/tanuki.light/brightness/set                 | <-| 85
tanuki/entities/desk/$meta/name                                        | "Desk"
tanuki/entities/desk/$meta/type                                        | "Tapo P110"
tanuki/entities/desk/$meta/tags                                        | ["room.living_room"]
tanuki/entities/desk/$meta/status                                      | "online"
tanuki/entities/desk/tanuki.on_off/$meta/version                       | 1
tanuki/entities/desk/tanuki.on_off/state                               | "on"
tanuki/entities/desk/tanuki.on_off/state/set                           | <-| on, off, toggle
tanuki/entities/desk/tanuki.sensor/$meta/version                       | 1
tanuki/entities/desk/tanuki.sensor/current_power                       | { value: 300.0, unit: "W", timestamp: 1712345678 }
tanuki/entities/desk/tanuki.sensor/total_power                         | { value: 1230.0, unit: "kWh", timestamp: 1712345678 }
tanuki/entities/sinon/$meta/name                                       | "Sinon"
tanuki/entities/sinon/$meta/type                                       | "Linux"
tanuki/entities/sinon/$meta/tags                                       | ["room.living_room", "role.server"]
tanuki/entities/sinon/$meta/status                                     | "online"
tanuki/entities/sinon/tanuki.sensor/$meta/version                      | 1
tanuki/entities/sinon/tanuki.sensor/cpu_usage                          | { value: 15.0, unit: "%", timestamp: 1712345678 }
tanuki/entities/sinon/tanuki.sensor/memory_usage                       | { value: 2048, unit: "MiB", timestamp: 1712345678 }
tanuki/entities/sinon/tanuki.bluetooth/$meta/version                   | 1
tanuki/entities/sinon/tanuki.bluetooth/controller/name                 | "sinon"
tanuki/entities/sinon/tanuki.bluetooth/controller/address              | "00:1A:7D:DA:71:13"
tanuki/entities/sinon/tanuki.bluetooth/controller/scanning             | true
tanuki/entities/sinon/tanuki.bluetooth/controller/scanning/set         | <-| true, false
tanuki/entities/sinon/tanuki.bluetooth/devices/00:1B:63:84:45:E6/name  | "Keychron K2"
tanuki/entities/sinon/tanuki.bluetooth/devices/00:1B:63:84:45:E6/type  | "keyboard"
tanuki/entities/sinon/tanuki.bluetooth/devices/00:1B:63:84:45:E6/pair  | <-| <empty>
tanuki/entities/sinon/foo.system/$meta/version                         | 1
tanuki/entities/sinon/foo.system/whatever                              | "something custom"
tanuki/tags/room.living_room/$meta/name                               | "Living Room"
tanuki/tags/role.server/$meta/name                                    | "Server"
tanuki/tags/misc.main_light/$meta/name                                | "Main Light"
